tag,step,wall_time,value
test_acc,1,1764896353.9505417,14.979999542236328
test_acc,2,1764896387.373704,18.3799991607666
test_acc,3,1764896420.544046,24.599998474121094
test_acc,4,1764896453.7029974,29.079999923706055
test_acc,5,1764896486.878956,36.40999984741211
test_acc,6,1764896520.0001733,41.57999801635742
test_acc,7,1764896553.0796194,38.18000030517578
test_acc,8,1764896586.167541,46.64999771118164
test_acc,9,1764896619.3005118,45.97999954223633
test_acc,10,1764896652.3843875,46.75
test_acc,11,1764896685.4593155,46.82999801635742
test_acc,12,1764896718.5846128,48.79999923706055
test_acc,13,1764896751.6790304,47.98999786376953
test_acc,14,1764896784.8098676,51.2599983215332
test_acc,15,1764896817.9328535,49.97999954223633
test_acc,16,1764896851.054346,51.62999725341797
test_acc,17,1764896884.182571,47.71999740600586
test_acc,18,1764896917.3178055,49.14999771118164
test_acc,19,1764896950.4242916,48.619998931884766
test_acc,20,1764896983.5331385,49.86000061035156
test_acc,21,1764897016.6616156,54.96999740600586
test_acc,22,1764897049.8407025,50.959999084472656
test_acc,23,1764897082.986517,52.19999694824219
test_acc,24,1764897116.1168258,53.25
test_acc,25,1764897149.2669077,47.37999725341797
test_acc,26,1764897182.4318376,52.689998626708984
test_acc,27,1764897215.641078,53.91999816894531
test_acc,28,1764897248.7556782,53.66999816894531
test_acc,29,1764897281.885428,53.04999923706055
test_acc,30,1764897315.0416124,50.119998931884766
test_acc,31,1764897348.190468,53.209999084472656
test_acc,32,1764897381.2607358,52.939998626708984
test_acc,33,1764897414.3455393,55.55999755859375
test_acc,34,1764897447.492945,52.29999923706055
test_acc,35,1764897480.6021204,51.779998779296875
test_acc,36,1764897513.687693,53.32999801635742
test_acc,37,1764897546.7471528,50.279998779296875
test_acc,38,1764897579.8804066,56.029998779296875
test_acc,39,1764897613.0034637,49.939998626708984
test_acc,40,1764897646.1874602,52.27000045776367
test_acc,41,1764897679.3135128,52.07999801635742
test_acc,42,1764897712.4639332,52.46999740600586
test_acc,43,1764897745.616027,53.3599967956543
test_acc,44,1764897778.767073,50.07999801635742
test_acc,45,1764897811.9215827,57.849998474121094
test_acc,46,1764897845.0664763,54.15999984741211
test_acc,47,1764897878.208618,51.62999725341797
test_acc,48,1764897911.358408,54.18000030517578
test_acc,49,1764897944.4755704,57.40999984741211
test_acc,50,1764897979.3893356,54.84000015258789
test_acc,51,1764898012.531956,48.7599983215332
test_acc,52,1764898045.7659135,55.66999816894531
test_acc,53,1764898080.1428995,50.18000030517578
test_acc,54,1764898113.5235393,55.37999725341797
test_acc,55,1764898146.7763393,52.44999694824219
test_acc,56,1764898180.021447,51.93000030517578
test_acc,57,1764898213.4296792,52.88999938964844
test_acc,58,1764898246.6780672,53.34000015258789
test_acc,59,1764898279.9220073,53.27000045776367
test_acc,60,1764898313.0670261,52.25
test_acc,61,1764898346.2613366,50.53999710083008
test_acc,62,1764898379.4224925,52.15999984741211
test_acc,63,1764898412.5884416,55.14999771118164
test_acc,64,1764898445.7550316,55.869998931884766
test_acc,65,1764898478.9394445,55.72999954223633
test_acc,66,1764898512.0528026,53.84000015258789
test_acc,67,1764898545.1561732,56.73999786376953
test_acc,68,1764898578.2628772,54.38999938964844
test_acc,69,1764898611.5081208,53.79999923706055
test_acc,70,1764898644.6965373,53.439998626708984
test_acc,71,1764898677.8911078,52.75
test_acc,72,1764898711.0555382,55.27000045776367
test_acc,73,1764898744.174897,49.91999816894531
test_acc,74,1764898777.272847,56.13999938964844
test_acc,75,1764898810.439528,52.82999801635742
test_acc,76,1764898843.5972826,51.5099983215332
test_acc,77,1764898876.8272843,57.1099967956543
test_acc,78,1764898910.1126199,54.25
test_acc,79,1764898943.2685437,50.38999938964844
test_acc,80,1764898976.4313424,52.0
test_acc,81,1764899009.5884364,53.689998626708984
test_acc,82,1764899042.728888,54.03999710083008
test_acc,83,1764899075.8383229,51.7599983215332
test_acc,84,1764899108.9935534,55.41999816894531
test_acc,85,1764899142.1424155,50.57999801635742
test_acc,86,1764899175.3001368,55.279998779296875
test_acc,87,1764899208.4375367,54.1099967956543
test_acc,88,1764899241.5506144,55.849998474121094
test_acc,89,1764899274.685745,55.97999954223633
test_acc,90,1764899307.8224819,54.72999954223633
test_acc,91,1764899342.2982814,53.32999801635742
test_acc,92,1764899375.424532,51.88999938964844
test_acc,93,1764899408.5960958,53.84000015258789
test_acc,94,1764899441.783624,56.37999725341797
test_acc,95,1764899474.925447,54.31999969482422
