tag,step,wall_time,value
test_acc,1,1764623909.1463294,14.6899995803833
test_acc,2,1764623942.092489,22.399999618530273
test_acc,3,1764623975.1972888,32.22999954223633
test_acc,4,1764624008.3079078,34.54999923706055
test_acc,5,1764624041.3954055,43.09000015258789
test_acc,6,1764624074.4889073,47.11000061035156
test_acc,7,1764624107.61094,46.06999969482422
test_acc,8,1764624140.9045045,51.459999084472656
test_acc,9,1764624174.0186481,55.14999771118164
test_acc,10,1764624207.185399,52.48999786376953
test_acc,11,1764624240.2729208,55.56999969482422
test_acc,12,1764624273.4779394,52.46999740600586
test_acc,13,1764624306.613835,53.66999816894531
test_acc,14,1764624339.7591107,55.31999969482422
test_acc,15,1764624372.9366632,52.18000030517578
test_acc,16,1764624406.1031036,58.28999710083008
test_acc,17,1764624439.2843688,57.1099967956543
test_acc,18,1764624472.464513,57.80999755859375
test_acc,19,1764624505.611976,58.73999786376953
test_acc,20,1764624538.7374625,57.029998779296875
test_acc,21,1764624571.8274634,59.53999710083008
test_acc,22,1764624604.9285495,58.88999938964844
test_acc,23,1764624637.9741511,60.64999771118164
test_acc,24,1764624671.0873828,58.119998931884766
test_acc,25,1764624704.125819,59.90999984741211
test_acc,26,1764624737.1829462,61.269996643066406
test_acc,27,1764624770.2311516,61.53999710083008
test_acc,28,1764624803.2693996,60.38999938964844
test_acc,29,1764624836.2999973,50.57999801635742
test_acc,30,1764624869.465685,58.41999816894531
test_acc,31,1764624902.5531178,59.75
test_acc,32,1764624935.6105542,57.189998626708984
test_acc,33,1764624968.6483157,61.47999954223633
test_acc,34,1764625001.6824727,58.78999710083008
test_acc,35,1764625034.7198215,62.07999801635742
test_acc,36,1764625067.8296845,56.91999816894531
test_acc,37,1764625100.893243,58.88999938964844
test_acc,38,1764625133.9304473,59.349998474121094
test_acc,39,1764625166.976072,57.87999725341797
test_acc,40,1764625200.0296896,59.209999084472656
test_acc,41,1764625233.1088572,61.269996643066406
test_acc,42,1764625266.1745539,60.28999710083008
test_acc,43,1764625299.178681,59.44999694824219
test_acc,44,1764625332.193989,57.15999984741211
test_acc,45,1764625365.1949244,59.88999938964844
test_acc,46,1764625398.2119298,59.48999786376953
test_acc,47,1764625431.2873878,58.47999954223633
test_acc,48,1764625464.3113515,58.43000030517578
test_acc,49,1764625497.3650184,58.25
test_acc,50,1764625530.4135733,62.82999801635742
test_acc,51,1764625563.5033784,57.519996643066406
test_acc,52,1764625596.543888,62.46999740600586
test_acc,53,1764625629.5931075,60.28999710083008
test_acc,54,1764625662.7779632,61.07999801635742
test_acc,55,1764625695.8615887,60.78999710083008
test_acc,56,1764625728.9777844,63.1099967956543
test_acc,57,1764625762.0659509,60.57999801635742
test_acc,58,1764625795.1037993,60.2599983215332
test_acc,59,1764625828.1837294,57.37999725341797
test_acc,60,1764625861.253413,60.31999969482422
test_acc,61,1764625894.3251886,61.56999969482422
test_acc,62,1764625927.457421,59.459999084472656
test_acc,63,1764625960.6033835,57.79999923706055
test_acc,64,1764625993.674361,58.0
test_acc,65,1764626026.7644582,58.939998626708984
test_acc,66,1764626059.8509443,61.48999786376953
test_acc,67,1764626092.930581,58.529998779296875
test_acc,68,1764626126.032584,58.09000015258789
test_acc,69,1764626159.132034,61.71999740600586
test_acc,70,1764626192.2114732,60.07999801635742
test_acc,71,1764626225.2882462,59.849998474121094
test_acc,72,1764626258.3801868,61.57999801635742
test_acc,73,1764626291.4373493,59.62999725341797
test_acc,74,1764626324.4889362,62.54999923706055
test_acc,75,1764626357.5398684,61.22999954223633
test_acc,76,1764626390.615388,59.21999740600586
test_acc,77,1764626423.6474154,59.73999786376953
test_acc,78,1764626456.683314,61.21999740600586
test_acc,79,1764626489.7328238,60.22999954223633
test_acc,80,1764626522.8062842,60.019996643066406
