tag,step,wall_time,value
test_acc,1,1764552433.694878,14.809999465942383
test_acc,2,1764552467.0870638,26.389999389648438
test_acc,3,1764552500.597934,32.23999786376953
test_acc,4,1764552534.0649633,35.529998779296875
test_acc,5,1764552567.5347342,39.61000061035156
test_acc,6,1764552601.1017623,42.09000015258789
test_acc,7,1764552634.6253614,52.689998626708984
test_acc,8,1764552668.1704102,53.18000030517578
test_acc,9,1764552701.6723952,53.44999694824219
test_acc,10,1764552735.1637123,53.03999710083008
test_acc,11,1764552768.6769485,57.80999755859375
test_acc,12,1764552802.2047117,55.81999969482422
test_acc,13,1764552835.7587774,52.209999084472656
test_acc,14,1764552869.3520274,56.38999938964844
test_acc,15,1764552902.8604414,55.94999694824219
test_acc,16,1764552936.4072373,56.37999725341797
test_acc,17,1764552969.8596108,57.82999801635742
test_acc,18,1764553003.4065828,60.47999954223633
test_acc,19,1764553036.9210858,59.38999938964844
test_acc,20,1764553070.4268525,59.06999969482422
test_acc,21,1764553103.8901823,60.0099983215332
test_acc,22,1764553137.3646529,59.16999816894531
test_acc,23,1764553170.8840144,59.709999084472656
test_acc,24,1764553204.3775868,58.98999786376953
test_acc,25,1764553237.9197824,56.84000015258789
test_acc,26,1764553271.4706962,59.40999984741211
test_acc,27,1764553305.0000548,61.269996643066406
test_acc,28,1764553338.5212772,60.34000015258789
test_acc,29,1764553372.0567935,61.37999725341797
test_acc,30,1764553405.6354964,59.79999923706055
test_acc,31,1764553439.1694484,60.21999740600586
test_acc,32,1764553472.6813233,61.06999969482422
test_acc,33,1764553506.248544,60.39999771118164
test_acc,34,1764553539.7586083,59.68000030517578
test_acc,35,1764553573.2363238,61.37999725341797
test_acc,36,1764553606.9605446,60.44999694824219
test_acc,37,1764553640.4584315,59.55999755859375
test_acc,38,1764553673.948074,60.69999694824219
test_acc,39,1764553707.4835215,59.06999969482422
test_acc,40,1764553740.9689791,59.37999725341797
test_acc,41,1764553774.457627,59.40999984741211
test_acc,42,1764553808.013037,61.41999816894531
test_acc,43,1764553841.5642934,62.04999923706055
test_acc,44,1764553875.1475835,59.71999740600586
test_acc,45,1764553908.669442,58.57999801635742
test_acc,46,1764553942.1918,59.54999923706055
test_acc,47,1764553975.6575282,61.459999084472656
test_acc,48,1764554009.1808026,61.19999694824219
test_acc,49,1764554042.7193098,59.68000030517578
test_acc,50,1764554076.1986325,58.54999923706055
test_acc,51,1764554109.7639565,61.19999694824219
test_acc,52,1764554143.289266,59.38999938964844
test_acc,53,1764554176.7445087,59.93000030517578
test_acc,54,1764554210.2730079,63.81999969482422
test_acc,55,1764554243.8334222,61.59000015258789
test_acc,56,1764554277.323223,62.1099967956543
test_acc,57,1764554310.8677545,62.48999786376953
test_acc,58,1764554344.3639567,61.46999740600586
test_acc,59,1764554377.8817341,63.07999801635742
test_acc,60,1764554411.373847,62.519996643066406
test_acc,61,1764554444.928588,61.12999725341797
test_acc,62,1764554478.4995031,61.84000015258789
test_acc,63,1764554511.9822292,62.019996643066406
test_acc,64,1764554545.4506955,59.46999740600586
test_acc,65,1764554578.9316232,63.98999786376953
test_acc,66,1764554612.457772,63.209999084472656
