tag,step,wall_time,value
test_acc,1,1766996365.953111,10.15999984741211
test_acc,2,1766996404.5518172,20.229999542236328
test_acc,3,1766996443.067368,25.469999313354492
test_acc,4,1766996481.750588,31.75
test_acc,5,1766996520.4681447,36.90999984741211
test_acc,6,1766996559.1660562,39.09000015258789
test_acc,7,1766996597.9606059,38.82999801635742
test_acc,8,1766996636.7150605,46.94999694824219
test_acc,9,1766996675.4550278,46.44999694824219
test_acc,10,1766996714.235509,48.47999954223633
test_acc,11,1766996753.1018379,48.21999740600586
test_acc,12,1766996791.84577,47.38999938964844
test_acc,13,1766996830.7164578,50.77000045776367
test_acc,14,1766996869.3740394,52.09000015258789
test_acc,15,1766996908.2312088,51.21999740600586
test_acc,16,1766996947.1057894,53.28999710083008
test_acc,17,1766996985.7869546,54.84000015258789
test_acc,18,1766997024.6663008,54.09000015258789
test_acc,19,1766997063.3350208,52.849998474121094
test_acc,20,1766997102.0555565,52.62999725341797
test_acc,21,1766997140.8883524,53.22999954223633
test_acc,22,1766997179.6398,51.57999801635742
test_acc,23,1766997218.4093351,50.94999694824219
test_acc,24,1766997257.1702192,52.93000030517578
test_acc,25,1766997295.9514606,51.39999771118164
test_acc,26,1766997334.7249198,55.54999923706055
test_acc,27,1766997373.4510243,55.349998474121094
test_acc,28,1766997412.3614047,55.8599967956543
test_acc,29,1766997451.111286,54.12999725341797
test_acc,30,1766997489.8263917,52.96999740600586
test_acc,31,1766997528.631021,56.07999801635742
test_acc,32,1766997567.513472,53.98999786376953
test_acc,33,1766997606.3841288,57.23999786376953
test_acc,34,1766997645.2155905,55.72999954223633
test_acc,35,1766997684.1475046,55.0
test_acc,36,1766997723.4180183,57.529998779296875
test_acc,37,1766997762.2856092,54.939998626708984
test_acc,38,1766997800.9914768,55.07999801635742
test_acc,39,1766997839.6865563,58.349998474121094
test_acc,40,1766997878.6684802,56.689998626708984
test_acc,41,1766997917.499038,57.30999755859375
test_acc,42,1766997956.323815,57.07999801635742
test_acc,43,1766997995.1367536,53.21999740600586
test_acc,44,1766998033.8196998,52.57999801635742
test_acc,45,1766998072.5452547,56.40999984741211
test_acc,46,1766998111.39526,57.0099983215332
test_acc,47,1766998150.1413817,58.54999923706055
test_acc,48,1766998189.0182555,54.97999954223633
test_acc,49,1766998227.8568642,54.93000030517578
test_acc,50,1766998266.661841,54.599998474121094
test_acc,51,1766998305.391089,58.619998931884766
test_acc,52,1766998344.2454712,57.81999969482422
test_acc,53,1766998383.0580683,56.29999923706055
test_acc,54,1766998421.734325,55.599998474121094
test_acc,55,1766998460.5320923,55.94999694824219
test_acc,56,1766998499.3188457,55.959999084472656
test_acc,57,1766998538.0981064,57.31999969482422
test_acc,58,1766998576.8209617,56.869998931884766
test_acc,59,1766998615.6201384,55.13999938964844
test_acc,60,1766998654.3434708,57.63999938964844
test_acc,61,1766998693.1234674,55.89999771118164
test_acc,62,1766998731.9572473,53.04999923706055
test_acc,63,1766998770.8162465,57.7599983215332
test_acc,64,1766998809.5682867,52.27000045776367
test_acc,65,1766998848.3049438,58.05999755859375
test_acc,66,1766998887.1252592,56.279998779296875
test_acc,67,1766998925.8771527,57.22999954223633
test_acc,68,1766998964.601097,58.39999771118164
test_acc,69,1766999003.357078,57.69999694824219
test_acc,70,1766999042.1443472,56.2599983215332
test_acc,71,1766999080.894749,55.68000030517578
test_acc,72,1766999119.6568985,55.30999755859375
test_acc,73,1766999158.5896857,58.07999801635742
test_acc,74,1766999197.6315475,54.099998474121094
test_acc,75,1766999236.697595,57.6099967956543
test_acc,76,1766999276.1107857,56.849998474121094
test_acc,77,1766999315.2492545,55.439998626708984
test_acc,78,1766999354.283962,59.04999923706055
test_acc,79,1766999393.2169712,57.06999969482422
test_acc,80,1766999432.08557,58.40999984741211
test_acc,81,1766999470.7787838,52.93000030517578
test_acc,82,1766999509.513713,56.66999816894531
test_acc,83,1766999548.3042462,50.30999755859375
test_acc,84,1766999587.120543,58.16999816894531
test_acc,85,1766999625.745918,57.73999786376953
test_acc,86,1766999664.502865,57.189998626708984
test_acc,87,1766999703.1298578,58.64999771118164
test_acc,88,1766999741.867422,57.27000045776367
test_acc,89,1767003421.1988041,57.16999816894531
test_acc,90,1767003461.1851745,57.90999984741211
test_acc,91,1767003499.8203588,53.64999771118164
test_acc,92,1767003538.5091844,57.939998626708984
test_acc,93,1767003577.2918603,58.22999954223633
test_acc,94,1767003616.0419984,58.09000015258789
test_acc,95,1767003654.8353271,58.709999084472656
test_acc,96,1767003693.5070205,58.12999725341797
test_acc,97,1767003732.3932028,56.22999954223633
test_acc,98,1767003771.2801232,54.90999984741211
test_acc,99,1767003810.1960878,57.19999694824219
test_acc,100,1767003849.2490783,58.73999786376953
test_acc,101,1767003888.1634207,58.03999710083008
test_acc,102,1767003927.022144,57.93000030517578
test_acc,103,1767003965.8484104,56.96999740600586
test_acc,104,1767004004.6377177,52.39999771118164
test_acc,105,1767004043.4932811,57.2599983215332
test_acc,106,1767004082.478211,56.57999801635742
test_acc,107,1767004121.3337493,56.18000030517578
test_acc,108,1767004160.267804,59.31999969482422
