tag,step,wall_time,value
test_acc,1,1764974377.1325257,16.31999969482422
test_acc,2,1764974397.104762,25.3799991607666
test_acc,3,1764974416.9149723,35.0
test_acc,4,1764974436.923026,36.029998779296875
test_acc,5,1764974456.870896,38.22999954223633
test_acc,6,1764974476.7081275,48.16999816894531
test_acc,7,1764974496.5770752,39.98999786376953
test_acc,8,1764974516.4283917,47.09000015258789
test_acc,9,1764974536.3672671,46.65999984741211
test_acc,10,1764974556.2063293,50.5099983215332
test_acc,11,1764974576.200226,50.27000045776367
test_acc,12,1764974596.072538,52.27000045776367
test_acc,13,1764974616.07156,46.96999740600586
test_acc,14,1764974635.9280655,55.73999786376953
test_acc,15,1764974655.6801884,54.88999938964844
test_acc,16,1764974675.480115,57.519996643066406
test_acc,17,1764974695.3197608,53.07999801635742
test_acc,18,1764974715.1912808,52.529998779296875
test_acc,19,1764974735.1524832,56.1099967956543
test_acc,20,1764974754.9204726,53.96999740600586
test_acc,21,1764974774.8738232,54.56999969482422
test_acc,22,1764974794.7513385,53.8599967956543
test_acc,23,1764974814.5316627,58.22999954223633
test_acc,24,1764974834.382933,53.91999816894531
test_acc,25,1764974854.3348067,57.47999954223633
test_acc,26,1764974874.1458669,54.7599983215332
test_acc,27,1764974893.9680002,51.34000015258789
test_acc,28,1764974913.803348,58.269996643066406
test_acc,29,1764974933.6461785,55.39999771118164
test_acc,30,1764974953.5789466,58.80999755859375
test_acc,31,1764974973.5050886,57.39999771118164
test_acc,32,1764974993.366324,56.959999084472656
test_acc,33,1764975013.3969018,58.5099983215332
test_acc,34,1764975033.2745094,57.73999786376953
test_acc,35,1764975053.086071,50.34000015258789
test_acc,36,1764975072.9109786,54.209999084472656
test_acc,37,1764975092.7990131,60.349998474121094
test_acc,38,1764975112.629338,57.31999969482422
test_acc,39,1764975132.4990299,57.21999740600586
test_acc,40,1764975152.4480267,57.04999923706055
test_acc,41,1764975172.3713057,56.16999816894531
test_acc,42,1764975192.1435218,58.32999801635742
test_acc,43,1764975212.0696557,56.2599983215332
test_acc,44,1764975232.0070624,58.18000030517578
test_acc,45,1764975251.9572763,54.53999710083008
test_acc,46,1764975272.054102,54.37999725341797
test_acc,47,1764975291.9510324,56.32999801635742
test_acc,48,1764975311.7988405,55.46999740600586
test_acc,49,1764975331.6205933,55.18000030517578
test_acc,50,1764975351.6203876,60.40999984741211
test_acc,51,1764975371.640324,56.369998931884766
test_acc,52,1764975391.5681825,58.8599967956543
test_acc,53,1764975411.4261265,60.619998931884766
test_acc,54,1764975431.3137405,59.459999084472656
test_acc,55,1764975451.1318262,57.59000015258789
test_acc,56,1764975470.9130933,53.939998626708984
test_acc,57,1764975490.9040132,52.0099983215332
test_acc,58,1764975510.8239732,54.07999801635742
test_acc,59,1764975530.5622516,56.02000045776367
test_acc,60,1764975550.3871834,56.34000015258789
test_acc,61,1764975570.2633426,56.34000015258789
test_acc,62,1764975590.139717,57.55999755859375
test_acc,63,1764975610.0231152,56.709999084472656
test_acc,64,1764975629.9296768,56.55999755859375
test_acc,65,1764975649.7495918,58.98999786376953
test_acc,66,1764975669.611059,56.81999969482422
test_acc,67,1764975689.4200916,56.89999771118164
test_acc,68,1764975709.398292,56.939998626708984
test_acc,69,1764975729.4103787,54.3599967956543
test_acc,70,1764975749.2855747,61.38999938964844
test_acc,71,1764975769.2371478,56.279998779296875
test_acc,72,1764975789.0758073,54.93000030517578
test_acc,73,1764975808.9367232,56.599998474121094
test_acc,74,1764975828.7827678,57.1099967956543
test_acc,75,1764975848.6287222,59.05999755859375
test_acc,76,1764975868.5806715,57.06999969482422
test_acc,77,1764975888.5020452,58.40999984741211
test_acc,78,1764975908.350544,58.689998626708984
test_acc,79,1764975928.2956069,60.0
test_acc,80,1764975948.1887803,57.82999801635742
test_acc,81,1764975967.9863212,54.79999923706055
test_acc,82,1764975987.8378332,56.09000015258789
test_acc,83,1764976007.716215,58.189998626708984
test_acc,84,1764976027.6549776,58.62999725341797
test_acc,85,1764976047.4253767,54.65999984741211
test_acc,86,1764976067.2580216,59.529998779296875
test_acc,87,1764976087.126055,61.53999710083008
test_acc,88,1764976107.0850527,57.6099967956543
test_acc,89,1764976126.9077232,59.18000030517578
test_acc,90,1764976146.841787,59.439998626708984
test_acc,91,1764976166.5544713,55.2599983215332
test_acc,92,1764976186.4149928,59.06999969482422
test_acc,93,1764976206.3336484,58.21999740600586
test_acc,94,1764976226.1399634,59.529998779296875
test_acc,95,1764976246.0062919,58.68000030517578
test_acc,96,1764976265.809803,57.66999816894531
test_acc,97,1764976285.840784,57.1099967956543
test_acc,98,1764976305.858358,55.13999938964844
test_acc,99,1764976325.644447,56.7599983215332
test_acc,100,1764976345.5943632,61.0099983215332
test_acc,101,1764976365.4369586,59.959999084472656
test_acc,102,1764976385.3311598,56.88999938964844
test_acc,103,1764976405.2120278,56.40999984741211
test_acc,104,1764976425.0666492,59.09000015258789
test_acc,105,1764976444.8928013,58.73999786376953
test_acc,106,1764976464.7885323,55.53999710083008
test_acc,107,1764976484.6562,55.73999786376953
test_acc,108,1764976504.4328566,55.779998779296875
test_acc,109,1764976524.2541237,56.779998779296875
test_acc,110,1764976544.126683,58.68000030517578
test_acc,111,1764976564.0815887,57.64999771118164
test_acc,112,1764976584.2899284,57.89999771118164
test_acc,113,1764976604.3871248,58.3599967956543
test_acc,114,1764976624.51303,52.52000045776367
